,house_details,price_lakh,other_details
0,"3 BHK Independent House  - 1,100 sq ftRajajipuram, Lucknow",33,Carpet area720 sq ftStatusReady to moveBathrooms2New/ResaleResale
1,"3 BHK Independent House  - 1,200 sq ftSarojini Nagar, Lucknow",27,StatusReady to moveBathrooms2New/ResaleResale
2,"2 BHK Independent House  - 1,250 sq ftSQFT Ryt HomesJankipuram Extension, Lucknow",50,Carpet area1000 sq ftStatusReady to moveBathrooms2New/ResaleResale
3,SQFT Ryt Homes ,13,"TypeVillaAreaView Floor Plans700 - 1,250 sq fti* 1 sq M = 10.76 sq ftStatusUnder Construction"
4,"3 BHK Independent House  - 1,320 sq ftOmaxe City, Lucknow",42,Carpet area900 sq ftStatusReady to moveBathrooms3New/ResaleResale
5,"3 BHK Independent House  - 900 sq ftVrindavan Yojna, Lucknow",48,StatusUnder ConstructionBathrooms2New/ResaleResale
6,"2 BHK Independent House  - 1,350 sq ftMatiyari, Lucknow",45,Carpet area1120 sq ftStatusReady to moveBathrooms2New/ResaleResale
7,"3 BHK Independent House  - 1,219 sq ftBhitauli, Lucknow",44,StatusReady to moveBathrooms2New/ResaleResale
8,"2 BHK Independent House  - 836 sq ftKalyanpur West, Lucknow",43.47,StatusReady to moveBathrooms2New/ResaleResale
9,"3 BHK Independent House  - 1,350 sq ftFazullaganj, Lucknow",42,StatusReady to moveBathrooms2New/ResaleResale
10,"3 BHK Independent House  - 1,030 sq ftIBIS Jankipuram VillasJankipuram, Lucknow",42,Carpet area300 sq ftStatusReady to moveBathrooms2New/ResaleResale
11,IBIS Jankipuram Villas ,22,"TypeBuilderFloor, Villa, IndependentHouse, PlotAreaView Floor Plans540 - 3,000 sq fti* 1 sq M = 10.76 sq ftStatusReady to Move"
12,"2 BHK Independent House  - 850 sq ftjankipuram vistar, Lucknow",27,Carpet area600 sq ftStatusUnder ConstructionBathrooms2New/ResaleResale
13,"2 BHK Villa  - 955 sq ftEldeco Saksham At Samridhi Udyan 2Eldeco II, Lucknow",45,Carpet area800 sq ftStatusReady to moveBathrooms2New/ResaleResale
14,Eldeco Saksham At Samridhi Udyan 2 ,48,TypeVillaCarpet Area800 sq ftStatusNew Launch
15,"2 BHK Independent House  - 1,000 sq ftRajajipuram, Lucknow",30,Carpet area800 sq ftStatusReady to moveBathrooms2New/ResaleResale
16,"1 BHK Independent House  - 720 sq ftSarojini Nagar, Lucknow",28,Carpet area720 sq ftStatusUnder ConstructionBathrooms2New/ResaleResale
17,"2 BHK Independent House  - 1,050 sq ftBakshi Ka Talab, Lucknow",31.5,Carpet area840 sq ftStatusUnder ConstructionBathrooms2New/ResaleResale
18,"3 BHK Independent House  - 1,450 sq ftAurangabad Khalsa, Lucknow",45,Carpet area1000 sq ftStatusUnder ConstructionBathrooms3New/ResaleResale
19,"2 BHK Independent House  - 1,500 sq ftJankipuram Extension, Lucknow",42,Carpet area1250 sq ftStatusReady to moveBathrooms2New/ResaleResale
20,"3 BHK Independent House  - 800 sq ftNeel Matha, Lucknow",34,Carpet area800 sq ftStatusReady to moveBathrooms2New/ResaleResale
21,"2 BHK Independent House  - 900 sq ft AwadhpuramJankipuram, Lucknow",19.99,Carpet area750 sq ftStatusReady to moveBathrooms2New/ResaleResale
22,Awadhpuram ,9.49,"TypeBuilderFloor, VillaCarpet Area400 - 1,200 sq ftStatusUnder Construction"
23,"2 BHK Independent House  - 950 sq ftVrindavan Yojna, Lucknow",42.5,Carpet area950 sq ftStatusReady to moveBathrooms1New/ResaleResale
24,"3 BHK Independent House  - 1,050 sq ftAlambagh, Lucknow",45,Carpet area1000 sq ftStatusReady to moveBathrooms2New/ResaleResale
25,"2 BHK Villa  - 650 sq ftVrindavan Yojna, Lucknow",28,Carpet area630 sq ftStatusReady to moveBathrooms1New/ResaleResale
26,"2 BHK Independent House  - 1,100 sq ftKanausi, Lucknow",32,Carpet area1100 sq ftStatusUnder ConstructionBathrooms2New/ResaleResale
27,"3 BHK Independent House  - 1,100 sq ftOmaxe City, Lucknow",45,StatusUnder ConstructionBathrooms3New/ResaleResale
