,house_details,price_lakh,other_details
0,"2 BHK Villa  - 800 sq ft amity villaAmity University Road, Lucknow",40,StatusReady to moveBathrooms2New/ResaleNew
1,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
2,"2 BHK Independent House  - 1,000 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
3,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
4,"2 BHK Villa  - 1,000 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
5,"2 BHK Villa  - 1,250 sq ft Yash park city safedabadFaizabad Road, Lucknow",42,StatusReady to moveBathrooms2New/ResaleNew
6,"2 BHK Villa  - 1,250 sq ft Yash park city safedabadFaizabad Road, Lucknow",46,StatusReady to moveBathrooms2New/ResaleNew
7,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",30,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
8,"2 BHK Villa  - 1,000 sq ftSitapur Road, Lucknow",25,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
9,"2 BHK Villa  - 900 sq ftSitapur Road, Lucknow",22.5,Carpet area700 sq ftStatusReady to moveBathrooms2New/ResaleNew
10,"2 BHK Independent House  - 800 sq ftGomti Nagar Extension, Lucknow",35,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
11,"2 BHK Villa  - 1,000 sq ftKursi Road, Lucknow",40,Carpet area740 sq ftStatusReady to moveBathrooms2New/ResaleNew
12,"2 BHK Independent House  - 800 sq ftDeva Road, Lucknow",35,"Carpet area799 sq ftStatusReady to moveBathrooms2Additional Rooms3 rooms(study room, servant room, pooja room)"
13,"2 BHK Independent House  - 800 sq ftChinhat, Lucknow",35,"Carpet area799 sq ftStatusReady to moveBathrooms3Additional Rooms3 rooms(study room, servant room, pooja room)"
